Date,S,E,I,R,H,C,D,index
204,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
205,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
206,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
207,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
208,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
209,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
210,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
211,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
212,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
213,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
214,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
215,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
216,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
217,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
218,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
219,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
220,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
221,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
222,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
223,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
224,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
225,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
226,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
227,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
228,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
229,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
230,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
231,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
232,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
233,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
234,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
235,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
236,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
237,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
238,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
239,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
240,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
241,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
242,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
243,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
244,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
245,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
246,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
247,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
248,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
249,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
250,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
251,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
252,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
253,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
254,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
255,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
256,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
257,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
258,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
259,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
260,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
261,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
262,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
263,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
264,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
265,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
266,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
267,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
268,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
269,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
270,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
271,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
272,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
273,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
274,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
275,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
276,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
277,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
278,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
279,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
280,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
281,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
282,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
283,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
284,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
285,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
286,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
287,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
288,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
289,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
290,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
291,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
292,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
293,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
294,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
295,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
296,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
297,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
298,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
299,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
