Date,S,E,I,R,H,C,D
216,943271.245,2.925,7.065,56267.505,0.645,0.145,450.47
217,943268.525,3.085,7.535,56269.535,0.68,0.165,450.475
218,943265.56,3.395,7.98,56271.7,0.705,0.175,450.485
219,943262.56,3.49,8.525,56273.98,0.775,0.165,450.505
220,943259.415,3.625,9.075,56276.365,0.81,0.2,450.51
221,943255.97,4.07,9.38,56278.99,0.865,0.215,450.51
222,943252.345,4.175,10.235,56281.565,0.92,0.245,450.515
223,943248.565,4.43,10.775,56284.52,0.97,0.22,450.52
224,943244.58,4.67,11.385,56287.575,1.035,0.225,450.53
225,943240.53,4.745,12.03,56290.83,1.105,0.225,450.535
226,943236.275,4.97,12.615,56294.16,1.19,0.24,450.55
227,943231.615,5.515,13.05,56297.715,1.27,0.28,450.555
228,943226.945,5.56,13.89,56301.41,1.305,0.33,450.56
229,943221.795,6.045,14.7,56305.2,1.35,0.34,450.57
230,943215.96,6.74,15.605,56309.265,1.5,0.35,450.58
231,943210.48,6.49,16.91,56313.63,1.515,0.385,450.59
232,943204.285,7.12,17.73,56318.275,1.585,0.37,450.635
233,943197.65,7.7,18.975,56322.945,1.685,0.395,450.65
234,943190.1,8.795,20.105,56328.145,1.755,0.415,450.685
235,943182.26,9.115,21.605,56334.07,1.835,0.425,450.69
236,943173.945,9.84,23.02,56340.035,2.04,0.415,450.705
237,943165.205,10.34,24.7,56346.45,2.155,0.43,450.72
238,943155.905,10.745,26.5,56353.255,2.385,0.47,450.74
239,943146.335,11.22,27.52,56361.18,2.505,0.49,450.75
240,943136.385,11.67,29.15,56368.825,2.72,0.485,450.765
241,943125.3,12.845,30.865,56376.935,2.705,0.575,450.775
242,943113.65,13.675,32.83,56385.55,2.875,0.645,450.775
243,943101.545,13.985,35.615,56394.27,3.055,0.745,450.785
244,943088.405,15.225,37.325,56404.24,3.19,0.815,450.8
245,943074.755,16.045,39.325,56414.805,3.405,0.825,450.84
246,943059.72,17.415,41.715,56425.695,3.685,0.92,450.85
247,943044.145,18.31,44.505,56437.185,3.92,1.03,450.905
248,943027.27,19.5,47.405,56449.5,4.24,1.15,450.935
249,943009.67,20.665,50.28,56462.755,4.42,1.235,450.975
250,942990.375,22.36,53.74,56476.615,4.635,1.25,451.025
251,942970.78,23.125,57.515,56491.285,4.99,1.215,451.09
252,942949.5,24.68,60.77,56507.295,5.31,1.32,451.125
253,942926.48,26.73,64.735,56523.81,5.625,1.425,451.195
254,942902.56,27.725,68.985,56542.01,5.885,1.555,451.28
255,942877.16,29.53,72.9,56561.205,6.21,1.625,451.37
