Date,S,E,I,R,H,C,D
128,954723.425,0.0,0.0,44908.105,4.53,4.185,359.755
129,954723.425,0.0,0.0,44908.79,4.08,3.75,359.955
130,954723.425,0.0,0.0,44909.34,3.655,3.4,360.18
131,954723.425,0.0,0.0,44909.94,3.17,3.145,360.32
132,954723.425,0.0,0.0,44910.495,2.8,2.82,360.46
133,954723.425,0.0,0.0,44910.875,2.535,2.615,360.55
134,954723.425,0.0,0.0,44911.255,2.235,2.425,360.66
135,954723.425,0.0,0.0,44911.64,2.005,2.115,360.815
136,954723.425,0.0,0.0,44911.985,1.79,1.85,360.95
137,954723.425,0.0,0.0,44912.23,1.605,1.665,361.075
138,954723.425,0.0,0.0,44912.44,1.47,1.505,361.16
139,954723.425,0.0,0.0,44912.66,1.34,1.345,361.23
140,954723.425,0.0,0.0,44912.855,1.25,1.2,361.27
141,954723.425,0.0,0.0,44913.065,1.125,1.065,361.32
142,954723.425,0.0,0.0,44913.27,1.0,0.925,361.38
143,954723.425,0.0,0.0,44913.43,0.875,0.855,361.415
144,954723.425,0.0,0.0,44913.655,0.755,0.725,361.44
145,954723.425,0.0,0.0,44913.76,0.685,0.65,361.48
146,954723.425,0.0,0.0,44913.85,0.635,0.59,361.5
147,954723.425,0.0,0.0,44913.945,0.58,0.525,361.525
148,954723.425,0.0,0.0,44914.015,0.53,0.48,361.55
149,954723.425,0.0,0.0,44914.095,0.48,0.425,361.575
150,954723.425,0.0,0.0,44914.2,0.42,0.34,361.615
151,954723.425,0.0,0.0,44914.24,0.38,0.335,361.62
152,954723.425,0.0,0.0,44914.295,0.365,0.285,361.63
153,954723.425,0.0,0.0,44914.31,0.35,0.26,361.655
154,954723.425,0.0,0.0,44914.365,0.305,0.22,361.685
155,954723.425,0.0,0.0,44914.415,0.285,0.18,361.695
156,954723.425,0.0,0.0,44914.435,0.26,0.17,361.71
157,954723.425,0.0,0.0,44914.465,0.225,0.16,361.725
158,954723.425,0.0,0.0,44914.48,0.205,0.16,361.73
159,954723.425,0.0,0.0,44914.505,0.18,0.155,361.735
160,954723.425,0.0,0.0,44914.515,0.165,0.15,361.745
161,954723.425,0.0,0.0,44914.555,0.155,0.115,361.75
