date,S,E,I,R,H,C,D
158,946327.34,32.065,75.64,53128.525,6.905,1.72,427.805
159,946298.845,33.22,81.85,53149.19,7.24,1.735,427.92
160,946267.47,36.17,86.755,53172.055,7.785,1.77,427.995
161,946234.215,38.75,92.58,53196.28,8.135,1.94,428.1
162,946198.865,41.04,98.985,53222.205,8.7,2.035,428.17
163,946160.78,44.44,105.1,53250.105,9.15,2.13,428.295
164,946120.37,47.15,112.575,53279.555,9.645,2.29,428.415
165,946077.625,49.845,120.715,53310.6,10.26,2.415,428.54
166,946032.25,52.68,129.34,53343.625,10.845,2.575,428.685
167,945983.27,57.205,136.325,53379.965,11.66,2.81,428.765
168,945931.145,61.055,145.85,53417.605,12.515,2.92,428.91
169,945875.835,64.585,155.95,53458.07,13.38,3.155,429.025
170,945816.44,69.15,166.285,53501.515,14.23,3.21,429.17
171,945752.01,75.12,177.815,53547.05,15.145,3.535,429.325
172,945684.125,79.065,191.27,53596.055,16.29,3.66,429.535
173,945612.08,83.79,204.74,53648.425,17.265,4.025,429.675
174,945533.4,91.355,216.895,53705.815,18.31,4.32,429.905
175,945451.295,95.97,232.08,53766.295,19.73,4.59,430.04
176,945363.725,101.91,246.99,53830.965,21.09,5.04,430.28
177,945269.37,109.625,263.685,53898.795,22.69,5.285,430.55
178,945167.8,117.69,282.33,53971.61,24.0,5.705,430.865
179,945060.54,124.955,301.84,54049.83,25.54,6.15,431.145
180,944946.825,132.465,322.31,54133.315,27.275,6.38,431.43
181,944825.15,141.63,342.795,54223.09,28.83,6.695,431.81
182,944695.635,151.095,365.14,54318.1,30.8,7.135,432.095
183,944556.945,161.435,389.14,54419.525,32.745,7.74,432.47
184,944411.37,169.695,414.965,54527.77,35.035,8.3,432.865
185,944253.395,183.57,440.4,54643.34,37.195,8.85,433.25
186,944085.865,194.855,470.525,54766.1,39.525,9.48,433.65
187,943905.88,209.875,500.015,54897.915,42.26,9.91,434.145
188,943716.31,220.905,534.62,55037.615,45.475,10.42,434.655
189,943512.37,237.455,568.38,55186.535,49.07,11.025,435.165
190,943297.555,250.505,607.155,55344.955,52.42,11.635,435.775
191,943068.8,266.24,646.455,55513.485,56.17,12.495,436.355
192,942823.65,285.26,688.32,55692.94,59.515,13.365,436.95
193,942563.39,303.515,733.59,55883.995,63.53,14.415,437.565
194,942284.28,324.94,782.715,56086.705,67.93,15.18,438.25
195,941989.98,343.085,835.09,56303.775,72.98,16.07,439.02
196,941675.475,366.345,888.03,56534.87,77.82,17.73,439.73
197,941339.81,390.185,946.905,56781.02,82.375,19.17,440.535
198,940981.965,416.755,1005.9,57045.495,88.05,20.445,441.39
199,940603.16,441.35,1071.555,57326.445,93.38,21.66,442.45
200,940198.75,471.29,1140.745,57623.62,99.15,22.91,443.535
201,939771.78,497.965,1213.235,57942.16,105.525,24.715,444.62
202,939314.16,532.745,1289.37,58279.49,112.125,26.365,445.745
203,938829.035,565.51,1373.42,58637.92,119.015,28.14,446.96
204,938314.915,598.875,1459.79,59020.795,127.18,30.04,448.405
205,937769.225,635.745,1551.755,59426.65,135.03,31.69,449.905
206,937192.04,673.0,1648.36,59858.55,142.87,33.775,451.405
207,936577.005,717.605,1747.7,60315.82,153.28,35.485,453.105
208,935924.635,761.15,1858.565,60800.69,162.58,37.39,454.99
209,935234.66,803.705,1977.355,61314.555,173.1,39.735,456.89
210,934498.765,856.945,2093.675,61866.33,182.865,42.575,458.845
211,933722.24,906.69,2221.305,62448.925,194.74,45.25,460.85
212,932897.435,961.945,2353.375,63069.005,207.175,48.05,463.015
213,932025.755,1017.925,2497.02,63723.505,219.375,51.06,465.36
214,931103.595,1075.965,2647.7,64417.86,232.57,54.38,467.93
215,930128.465,1137.925,2804.535,65154.14,246.64,57.87,470.425
216,929097.605,1201.415,2970.14,65934.605,261.51,61.25,473.475
217,928006.895,1271.375,3139.035,66763.545,277.295,65.455,476.4
218,926860.43,1337.9,3320.17,67637.915,294.285,69.79,479.51
219,925645.85,1416.605,3507.755,68561.07,311.67,73.915,483.135
220,924367.95,1490.415,3711.755,69534.68,330.135,78.37,486.695
221,923018.755,1572.075,3918.79,70567.04,349.765,83.245,490.33
222,921598.45,1657.85,4130.745,71659.295,370.795,88.455,494.41
223,920098.47,1749.21,4356.755,72810.585,392.85,93.355,498.775
224,918526.53,1837.03,4593.54,74024.975,415.81,98.625,503.49
225,916871.62,1932.695,4838.075,75304.235,440.58,104.745,508.05
226,915129.765,2032.315,5095.63,76652.515,465.76,111.29,512.725
227,913303.23,2130.82,5368.19,78070.015,492.075,117.47,518.2
228,911390.12,2234.89,5640.815,79567.145,519.04,124.095,523.895
229,909387.84,2338.445,5924.225,81140.925,547.205,131.275,530.085
230,907294.66,2443.86,6216.465,82792.88,576.84,138.845,536.45
231,905099.89,2560.855,6519.725,84521.095,608.885,146.15,543.4
232,902811.94,2674.975,6829.88,86336.69,641.14,154.515,550.86
233,900430.29,2787.155,7145.985,88239.21,675.76,163.205,558.395
234,897943.185,2909.01,7469.635,90230.755,708.735,172.16,566.52
235,895355.37,3026.71,7801.355,92313.835,746.385,181.335,575.01
236,892660.61,3149.355,8143.8,94489.145,782.685,190.815,583.59
237,889866.475,3268.915,8489.635,96759.45,820.37,202.165,592.99
238,886966.66,3393.38,8832.735,99132.875,858.285,213.485,602.58
239,883961.78,3515.835,9186.735,101599.58,899.335,223.65,613.085
240,880854.785,3636.795,9544.3,104165.01,941.025,234.16,623.925
241,877639.89,3762.115,9900.385,106832.905,983.725,245.44,635.54
242,874328.455,3878.555,10261.5,109598.99,1027.35,257.585,647.565
243,870906.575,4006.11,10618.41,112469.17,1069.775,270.205,659.755
244,867388.52,4123.465,10983.445,115433.9,1114.565,283.51,672.595
245,863765.465,4247.29,11343.47,118499.985,1160.285,296.59,686.915
246,860051.65,4352.915,11708.42,121670.615,1206.18,308.225,701.995
247,856243.055,4464.11,12060.68,124941.85,1251.05,321.91,717.345
248,852345.635,4571.805,12400.845,128316.0,1296.805,335.66,733.25
249,848357.045,4677.87,12738.265,131783.08,1343.055,350.705,749.98
250,844279.155,4783.82,13072.215,135342.09,1391.585,363.66,767.475
251,840114.57,4883.75,13404.01,138997.39,1437.615,377.475,785.19
252,835880.715,4972.395,13716.41,142750.47,1484.45,391.965,803.595
253,831572.42,5057.48,14018.41,146590.62,1531.51,406.78,822.78
254,827189.35,5142.785,14311.405,150514.065,1577.665,422.515,842.215
255,822743.165,5224.235,14591.38,154518.715,1623.41,436.195,862.9
256,818244.42,5289.72,14855.555,158607.57,1668.32,450.28,884.135
257,813700.965,5342.2,15102.94,162768.85,1712.69,466.6,905.755
258,809107.88,5400.28,15311.55,167013.77,1756.63,481.575,928.315
259,804477.035,5443.765,15523.56,171310.08,1798.135,495.53,951.895
260,799809.975,5488.675,15708.33,175669.875,1838.57,509.145,975.43
261,795115.08,5521.995,15886.565,180073.595,1878.805,523.805,1000.155
262,790412.69,5537.75,16030.745,184539.98,1915.705,537.84,1025.29
263,785687.07,5559.73,16150.865,189048.88,1950.045,551.81,1051.6
264,780945.545,5580.855,16252.045,193591.085,1987.475,563.83,1079.165
265,776204.465,5584.12,16345.765,198160.17,2021.585,576.95,1106.945
266,771466.635,5578.64,16415.215,202760.275,2054.345,590.355,1134.535
267,766740.66,5569.62,16460.765,207377.3,2083.905,604.265,1163.485
268,762023.72,5561.475,16482.645,212015.465,2107.055,616.74,1192.9
269,757337.76,5520.51,16498.005,216659.725,2131.1,629.89,1223.01
270,752669.925,5501.325,16468.025,221313.59,2153.315,639.675,1254.145
271,748035.735,5462.34,16438.44,225956.095,2171.225,650.42,1285.745
