,Date,DAL,DAL-var,AAL,AAL-var,UAL,UAL-var,ZNH,ZNH-var,CEA,CEA-var
342,2020-05-11,22.05500030517578,-0.02151728737790885,10.010000228881836,0.005020099452144747,24.234999656677246,-0.010816340543785873,22.65499973297119,0.007112684962262351,19.09999942779541,0.008181564289681007
343,2020-05-12,21.565000534057617,-0.022217173626752244,9.829999923706055,-0.017982048057943765,23.355000495910645,-0.03631108616600057,22.40000057220459,-0.01125575651168452,18.920000076293945,-0.009424050099159663
344,2020-05-13,20.1899995803833,-0.06376076603859929,9.315000057220459,-0.05239062771949984,21.609999656677246,-0.0747163691792231,21.619999885559082,-0.034821458335737035,18.184999465942383,-0.03884781222979438
345,2020-05-14,19.089999198913574,-0.054482437064460966,8.960000038146973,-0.03811057615596153,20.00999927520752,-0.07403981521930957,21.045000076293945,-0.026595735999480903,17.635000228881836,-0.030244666110142492
346,2020-05-15,19.079999923706055,-0.0005237965231600742,8.945000171661377,-0.0016740922345685437,19.795000076293945,-0.010744588041038023,21.109999656677246,0.0030885996743957866,17.369999885559082,-0.01502695434552634
347,2020-05-18,21.385000228881836,0.12080714436020099,9.744999885559082,0.08943540509168253,22.960000038146973,0.15988885828009475,21.994999885559082,0.04192327064306247,17.960000038146973,0.03396661810449405
348,2020-05-19,22.164999961853027,0.036474151256624766,9.890000343322754,0.014879472495278847,24.65000057220459,0.07360629491505923,22.550000190734863,0.025233021507773193,18.145000457763672,0.010300691493527785
349,2020-05-20,22.52999973297119,0.01646739326624612,9.889999866485596,-4.821406892316866e-08,24.644999504089355,-0.00020288308312956365,22.81999969482422,0.011973370368320014,18.350000381469727,0.011297873713656573
350,2020-05-21,22.96500015258789,0.019307608733794362,9.880000114440918,-0.0010110972881368844,25.46500015258789,0.03327249604377034,21.989999771118164,-0.03637160099937715,17.72000026702881,-0.03433243059096104
351,2020-05-22,22.96500015258789,0.0,9.860000133514404,-0.0020242895440133724,25.889999389648438,0.016689543864674045,20.93000030517578,-0.048203705183052996,16.90499973297119,-0.045993257436574064
